"id","X","latitude","longitude","freq","freq_rel","levels","log_rel","colores"
"1",1,-38.9905088757396,-72.6530059171598,169,0.423558897243108,3,0.837790275308386,5
"2",2,-39.5357529411765,-72.9490352941177,85,0.213032581453634,2,0.708023005966853,4
"3",3,-40.43275,-72.6261071428571,56,0.140350877192982,1,0.629227770741179,4
"4",4,-39.2658157894737,-72.5003421052631,76,0.19047619047619,1,0.686890468919273,4
"5",5,-40.43684375,-73.216171875,128,0.320802005012531,2,0.785322667490512,4
"6",6,-39.26828,-72.66406,50,0.12531328320802,1,0.607828849799525,4
"7",7,-39.7689310344828,-72.9350344827586,29,0.0726817042606516,1,0.504972510025795,3
"8",8,-39.4212763157894,-71.9376447368421,152,0.380952380952381,2,0.817771734130743,5
"9",9,-40.2564696969697,-72.6615151515151,66,0.165413533834586,1,0.660251760788626,4
"10",10,-40.5203620689655,-72.1311551724138,58,0.145363408521303,1,0.635853775237265,4
"11",11,-39.1272196531792,-72.5305953757226,173,0.433583959899749,3,0.842207359820226,5
"12",12,-39.725085106383,-72.6464255319149,47,0.117794486215539,1,0.596145427647318,3
"13",13,-40.5145438596491,-72.1465087719298,57,0.142857142857143,1,0.632569835903453,4
"14",14,-39.6676811594203,-73.1286231884058,69,0.172932330827068,1,0.668645220488557,4
"15",15,-40.2484333333333,-73.1219833333333,60,0.150375939849624,1,0.642255125629199,4
"16",16,-40.2324065934066,-72.9339120879121,91,0.228070175438596,2,0.720902207255851,4
"17",17,-39.7416956521739,-71.9006086956522,23,0.0576441102756892,1,0.461203323081436,3
"18",18,-40.5179344262295,-72.1539754098361,122,0.305764411027569,2,0.776257482598828,4
"19",19,-39.456102189781,-72.7749124087591,137,0.343358395989975,2,0.798153230539702,4
"20",20,-39.1526279069767,-72.7728372093023,43,0.107769423558897,1,0.57935020747804,3
"21",21,-39.2914736842105,-72.8544473684211,76,0.19047619047619,1,0.686890468919273,4
"22",22,-39.3833157894737,-72.6216907894737,152,0.380952380952381,2,0.817771734130743,5
"23",23,-38.9956261682243,-72.9237663551402,107,0.268170426065163,2,0.75148553957176,4
"24",24,-39.5134,-72.0866,5,0.012531328320802,1,0.173050697799138,1
"25",25,-39.369,-71.8111666666667,6,0.0150375939849624,1,0.207476973628813,2
"26",26,-40.190297029703,-72.7731584158416,101,0.2531328320802,2,0.740588953918315,4
"27",27,-40.0004444444444,-73.1011944444445,36,0.0902255639097744,1,0.545800136247403,3
"28",28,-38.9743783783784,-72.4099594594594,74,0.18546365914787,1,0.68185492377536,4
"29",29,-39.7201287128713,-72.5027821782178,101,0.2531328320802,2,0.740588953918315,4
"30",30,-38.9808020833333,-72.0274895833333,96,0.240601503759398,2,0.731002034474693,4
"31",31,-40.531,-72.027,2,0.0050125313283208,1,3.50762216922092e-05,1
"32",32,-40.522336,-72.148288,125,0.31328320802005,2,0.780844471376971,4
"33",33,-39.2963,-71.8145,20,0.050125313283208,1,0.434813228222079,3
"34",34,-39.5840535714286,-72.3617053571429,112,0.280701754385965,2,0.760109035952649,4
"35",35,-40.0565411764706,-72.8745882352941,85,0.213032581453634,2,0.708023005966853,4
"36",36,-39.4488285714286,-73.1495714285714,35,0.087719298245614,1,0.540480861895685,3
"37",37,-40.5191976744186,-72.1407325581395,86,0.215538847117794,2,0.71023147268951,4
"38",38,-39.3675084745763,-72.4937288135593,118,0.295739348370927,2,0.76996284130963,4
"39",39,-40.330231884058,-72.910615942029,138,0.345864661654135,2,0.799526485700027,4
"40",40,-40.5303333333333,-71.883,3,0.0075187969924812,1,0.0765957084173426,1
"41",41,-39.2894411027569,-72.2272832080198,399,1,5,1,5
"42",42,-39.4159650349651,-71.9408181818182,143,0.358395989974937,2,0.806246830319117,5
"43",43,-39.4046037735849,-72.0308679245283,53,0.132832080200501,1,0.618831287134112,4
"44",44,-39.0298971962617,-72.2409252336449,107,0.268170426065163,2,0.75148553957176,4
"45",45,-40.5196086956522,-73.0978695652174,69,0.172932330827068,1,0.668645220488557,4
"46",46,-40.0778064516129,-72.4872903225806,31,0.0776942355889724,1,0.517565292219653,3
"47",47,-39.5924893617021,-73.0478723404255,47,0.117794486215539,1,0.596145427647318,3
"48",48,-40.4285555555556,-73.0676222222222,90,0.225563909774436,2,0.718815757824849,4
