"N_pts","mu_x","mu_y","sigma_x","sigma_y","co_sigma","weight"
255,-73.0214360172794,-40.2602760257309,0.00365525490748266,0.00118075479416589,0.000231053109932885,0.0548198994483863
378,-73.0463270749021,-39.6215638507688,0.016345543153374,0.00528009097315827,0.00103322166982061,0.0922156650676108
565,-72.821219048296,-40.1082457895472,0.0410925091774133,0.0132740885228581,0.00259750750103657,0.148036646804524
726,-72.5905908055345,-39.3694395267214,0.0285095382199864,0.00920941898300813,0.00180212259752217,0.177606739662452
1057,-72.5265058206999,-39.1248610638794,0.0104902103383754,0.00338864633585177,0.000663098958589729,0.252869545134021
337,-72.3522744120636,-39.0630614228765,0.00326235681375792,0.00105383715927415,0.000206217543402089,0.077491800478224
364,-72.5624515735869,-39.711157730188,0.0316819053912811,0.0102341868422052,0.00200265178613666,0.0831797383791919
72,-73.2156029047663,-39.839287282773,9.48944264907877e-05,3.06536895112974e-05,5.99839215347475e-06,0.0173385581258989
366,-73.0139611231174,-39.1021394084264,0.0344243293825476,0.0111200704145642,0.00217600374324355,0.0964414068996899
