"id","latitude","longitude","freq","freq_rel","levels"
"1",-38.9905088757396,-72.6530059171598,169,0.423558897243108,3
"2",-39.5357529411765,-72.9490352941177,85,0.213032581453634,2
"3",-40.43275,-72.6261071428571,56,0.140350877192982,1
"4",-39.2658157894737,-72.5003421052631,76,0.19047619047619,1
"5",-40.43684375,-73.216171875,128,0.320802005012531,2
"6",-39.26828,-72.66406,50,0.12531328320802,1
"7",-39.7689310344828,-72.9350344827586,29,0.0726817042606516,1
"8",-39.4212763157894,-71.9376447368421,152,0.380952380952381,2
"9",-40.2564696969697,-72.6615151515151,66,0.165413533834586,1
"10",-40.5203620689655,-72.1311551724138,58,0.145363408521303,1
"11",-39.1272196531792,-72.5305953757226,173,0.433583959899749,3
"12",-39.725085106383,-72.6464255319149,47,0.117794486215539,1
"13",-40.5145438596491,-72.1465087719298,57,0.142857142857143,1
"14",-39.6676811594203,-73.1286231884058,69,0.172932330827068,1
"15",-40.2484333333333,-73.1219833333333,60,0.150375939849624,1
"16",-40.2324065934066,-72.9339120879121,91,0.228070175438596,2
"17",-39.7416956521739,-71.9006086956522,23,0.0576441102756892,1
"18",-40.5179344262295,-72.1539754098361,122,0.305764411027569,2
"19",-39.456102189781,-72.7749124087591,137,0.343358395989975,2
"20",-39.1526279069767,-72.7728372093023,43,0.107769423558897,1
"21",-39.2914736842105,-72.8544473684211,76,0.19047619047619,1
"22",-39.3833157894737,-72.6216907894737,152,0.380952380952381,2
"23",-38.9956261682243,-72.9237663551402,107,0.268170426065163,2
"24",-39.5134,-72.0866,5,0.012531328320802,1
"25",-39.369,-71.8111666666667,6,0.0150375939849624,1
"26",-40.190297029703,-72.7731584158416,101,0.2531328320802,2
"27",-40.0004444444444,-73.1011944444445,36,0.0902255639097744,1
"28",-38.9743783783784,-72.4099594594594,74,0.18546365914787,1
"29",-39.7201287128713,-72.5027821782178,101,0.2531328320802,2
"30",-38.9808020833333,-72.0274895833333,96,0.240601503759398,2
"31",-40.531,-72.027,2,0.0050125313283208,1
"32",-40.522336,-72.148288,125,0.31328320802005,2
"33",-39.2963,-71.8145,20,0.050125313283208,1
"34",-39.5840535714286,-72.3617053571429,112,0.280701754385965,2
"35",-40.0565411764706,-72.8745882352941,85,0.213032581453634,2
"36",-39.4488285714286,-73.1495714285714,35,0.087719298245614,1
"37",-40.5191976744186,-72.1407325581395,86,0.215538847117794,2
"38",-39.3675084745763,-72.4937288135593,118,0.295739348370927,2
"39",-40.330231884058,-72.910615942029,138,0.345864661654135,2
"40",-40.5303333333333,-71.883,3,0.0075187969924812,1
"41",-39.2894411027569,-72.2272832080198,399,1,5
"42",-39.4159650349651,-71.9408181818182,143,0.358395989974937,2
"43",-39.4046037735849,-72.0308679245283,53,0.132832080200501,1
"44",-39.0298971962617,-72.2409252336449,107,0.268170426065163,2
"45",-40.5196086956522,-73.0978695652174,69,0.172932330827068,1
"46",-40.0778064516129,-72.4872903225806,31,0.0776942355889724,1
"47",-39.5924893617021,-73.0478723404255,47,0.117794486215539,1
"48",-40.4285555555556,-73.0676222222222,90,0.225563909774436,2
"49",-40.5184285714286,-72.112,21,0.0526315789473684,1
"50",-40.2543076923077,-72.2306923076923,13,0.0325814536340852,1
"51",-40.3247522123894,-73.0320442477876,113,0.283208020050125,2
"52",-38.9984333333333,-73.0521166666667,60,0.150375939849624,1
"53",-39.1115913978495,-72.6377580645161,186,0.466165413533835,3
"54",-39.678125,-72.800975,40,0.100250626566416,1
"55",-40.4576388888889,-73.1560462962963,108,0.270676691729323,2
"56",-40.5276153846154,-72.1695128205128,39,0.0977443609022556,1
"57",-40.2344269662921,-73.0338426966292,89,0.223057644110276,2
"58",-39.03747,-72.5479,100,0.25062656641604,2
"59",-40.4625238095238,-73.2883809523809,63,0.157894736842105,1
"60",-38.999125,-73.2407954545455,88,0.220551378446115,2
"61",-39.0627373737374,-72.1920707070707,99,0.24812030075188,2
"62",-40.5290298507463,-72.1496567164179,67,0.167919799498747,1
"63",-39.1008548387097,-73.2170967741935,62,0.155388471177945,1
"64",-39.1367228915663,-72.3971325301205,83,0.208020050125313,2
"65",-39.2346285714286,-73.1113285714286,70,0.175438596491228,1
"66",-40.5403265306122,-73.2483265306123,98,0.245614035087719,2
"67",-39.003484375,-72.132234375,64,0.160401002506266,1
"68",-40.4567727272727,-73.50775,44,0.110275689223058,1
"69",-39.1320235294118,-72.3191647058823,85,0.213032581453634,2
"70",-39.0918539325843,-72.1329325842697,89,0.223057644110276,2
"71",-39.6483466666666,-72.9961733333333,75,0.18796992481203,1
"72",-39.8380657894737,-73.2155921052632,76,0.19047619047619,1
"73",-39.6307222222222,-73.2554444444444,36,0.0902255639097744,1
"74",-39.0647953216374,-72.3563040935673,171,0.428571428571429,3
"75",-39.004975,-72.8128166666667,120,0.300751879699248,2
"76",-40.518445945946,-72.1631216216216,74,0.18546365914787,1
"77",-39.3129411764706,-71.5794117647059,17,0.0426065162907268,1
"78",-40.0661076923077,-72.7624769230769,65,0.162907268170426,1
"79",-39.2832461538462,-71.9692,65,0.162907268170426,1
"80",-39.8573333333334,-72.791282051282,39,0.0977443609022556,1
"81",-39.4331935483871,-72.3369193548387,62,0.155388471177945,1
"82",-38.9745757575757,-72.3288787878788,165,0.413533834586466,3
"83",-39.1738195488722,-72.4664210526315,133,0.333333333333333,2
"84",-39.4208,-71.9484777777778,90,0.225563909774436,2
"85",-40.3462368421053,-73.3435263157895,38,0.0952380952380952,1
"86",-39.2762040816326,-72.3691224489796,49,0.12280701754386,1
"87",-40.5480625,-73.184825,80,0.200501253132832,2
"88",-40.112652173913,-73.2260434782609,23,0.0576441102756892,1
"89",-40.5257518796992,-72.1574210526315,133,0.333333333333333,2
"90",-39.9844347826087,-72.6775072463768,69,0.172932330827068,1
"91",-39.1699807692308,-72.5894743589744,156,0.390977443609023,2
"92",-39.4173798449612,-71.9304341085272,129,0.323308270676692,2
"93",-40.47395,-72.85695,40,0.100250626566416,1
"94",-39.0614452054795,-72.4415136986301,146,0.365914786967419,2
"95",-38.988,-71.65725,8,0.0200501253132832,1
"96",-39.92325,-73.4495,4,0.0100250626566416,1
"97",-39.7546363636364,-73.0829090909091,22,0.0551378446115288,1
"98",-39.8649272727273,-72.6102181818182,55,0.137844611528822,1
"99",-40.37601,-73.13309,100,0.25062656641604,2
"100",-40.5252337662338,-72.1411688311688,77,0.192982456140351,1
